graph_num,n,p,E,max_cut,alr,qaoa_ratio
50,16,1,47,37,36,0.7690
50,16,2,47,37,36,0.8390
50,16,3,47,37,36,0.8790
50,16,4,47,37,36,0.9052
50,16,5,47,37,36,0.9255
50,16,6,47,37,36,0.9423
50,16,7,47,37,36,0.9562
50,16,8,47,37,36,0.9674
50,16,9,47,37,36,0.9755
50,16,10,47,37,36,0.9807
0,16,1,45,35,35,0.7778
0,16,2,45,35,35,0.8344
0,16,3,45,35,35,0.8688
0,16,4,45,35,35,0.8944
0,16,5,45,35,35,0.9140
0,16,6,45,35,35,0.9305
0,16,7,45,35,35,0.9454
0,16,8,45,35,35,0.9580
0,16,9,45,35,35,0.9691
0,16,10,45,35,35,0.9778